iri	id	name	exact_synonym	related_synonym	definition
http://purl.obolibrary.org/obo/SYMP_0000000	SYMP:0000000	cellulitis	None	None	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.
http://purl.obolibrary.org/obo/SYMP_0000001	SYMP:0000001	abdominal cramp	stomach cramp	None	None
http://purl.obolibrary.org/obo/SYMP_0000002	SYMP:0000002	abdominal distention	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000003	SYMP:0000003	obsolete acute enteritis in newborns	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000004	SYMP:0000004	obsolete arrested moulting	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000005	SYMP:0000005	ataxia	uncoordination	None	A neurological and physiological symptom that is characterized by an inability to coordinate voluntary muscular movements that is symptomatic of some nervous disorders.
http://purl.obolibrary.org/obo/SYMP_0000006	SYMP:0000006	backache	back pain	None	A pain that is characterized by occurring in the lower back.
http://purl.obolibrary.org/obo/SYMP_0000007	SYMP:0000007	bleeding	None	None	A general symptom that is characterized as an act, instance, or result of being bled or the process by which something is bled: as a the escape of blood from vessels.
http://purl.obolibrary.org/obo/SYMP_0000008	SYMP:0000008	blindness	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000009	SYMP:0000009	blister	None	None	A skin and integumentary tissue symptom that is characterized by a fluid-filled elevation of the epidermis.
http://purl.obolibrary.org/obo/SYMP_0000010	SYMP:0000010	obsolete bloody diarrhea	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000011	SYMP:0000011	obsolete bloody exudate	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000012	SYMP:0000012	blurred vision	None	None	A vision symptom that is characterized by a decreased clarity or sharpness in vision, which can be caused by eye conditions myopia or hyperopia.
http://purl.obolibrary.org/obo/SYMP_0000013	SYMP:0000013	obsolete capillary leakage	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000014	SYMP:0000014	obsolete cardiomyocyte destruction	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000015	SYMP:0000015	giddiness	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000016	SYMP:0000016	confusion	None	None	A balance symptom that is characterized by a disturbance of consciousness characterized by inability to engage in orderly thought or by lack of power to distinguish, choose, or act decisively.
http://purl.obolibrary.org/obo/SYMP_0000017	SYMP:0000017	crinkle	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000018	SYMP:0000018	darkening of skin	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000019	SYMP:0000019	deafness	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000020	SYMP:0000020	dehydration	None	None	A nutrition, metabolism, and development symptom that is characterized by an abnormal depletion of body fluids.
http://purl.obolibrary.org/obo/SYMP_0000021	SYMP:0000021	delirium	None	None	A neurological and physiological symptom that is characterized by a mental disturbance characterized by confusion, disordered speech, and hallucinations.
http://purl.obolibrary.org/obo/SYMP_0000022	SYMP:0000022	depression	None	None	A neurological and physiological symptom that is characterized by a chronic feeling of emptiness, sadness, or inability to feel pleasure that may appear to happen for no clear reason.  Additionally one may experience feelings of hopelessness, pessimism, irritability, frustration, or restlessness, guilt, worthlessness and thoughts of death or suicide.
http://purl.obolibrary.org/obo/SYMP_0000023	SYMP:0000023	disorientation	None	None	A confusion that is characterized by an usually transient state of confusion especially as to time, place, or identity; often as a result of disease or drugs.
http://purl.obolibrary.org/obo/SYMP_0000024	SYMP:0000024	drowsiness	drowsy	None	A neurological and physiological symptom that is characterized by a feeling of being more sleepy than normal during the day. People who are drowsy may fall asleep in when they do not want to or at times which can lead to safety concerns.
http://purl.obolibrary.org/obo/SYMP_0000025	SYMP:0000025	dry cough	nonproductive cough	None	A cough that is characterized by a lack of accompanied phlegm production.
http://purl.obolibrary.org/obo/SYMP_0000026	SYMP:0000026	obsolete epidermal proliferation	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000027	SYMP:0000027	obsolete excess mucus in bronchi	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000028	SYMP:0000028	obsolete exophthalmia	abnormal protrusion of the eyeball	None	None
http://purl.obolibrary.org/obo/SYMP_0000029	SYMP:0000029	obsolete feather loss	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000030	SYMP:0000030	paralysis	None	None	A nervous system symptom that is characterized by a complete or partial loss of function especially when involving the power of motion or of sensation in any part of the body.
http://purl.obolibrary.org/obo/SYMP_0000031	SYMP:0000031	obsolete flaccid limb paralysis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000032	SYMP:0000032	flaccidity	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000033	SYMP:0000033	flat keratotic capsule	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000034	SYMP:0000034	obsolete fluid in pericardial sac	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000035	SYMP:0000035	obsolete fragile bones	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000036	SYMP:0000036	hemorrhagic gastroenteritis	haemorrhagic gastroenteritis	None	None
http://purl.obolibrary.org/obo/SYMP_0000037	SYMP:0000037	obsolete catarrhal enteritis	None	None	None
http://purl.obolibrary.org/obo/SYMP_0000038	SYMP:0000038	dyspneic enteritis	None	None	A respiratory system and chest symptom that is characterized by being short or breath or out of air (dyspnea), with inflammation of the small intestine (enteritis).
http://purl.obolibrary.org/obo/SYMP_0000039	SYMP:0000039	enteritis	None	None	Enteritis is a digestive system symptom involving the inflammation of the small intestines and especially of the human ileum.
