symptom_iri	symptom_iri	method	score	doid_name	symptom_name	symptom_definition
http://purl.obolibrary.org/obo/SYMP_0000006	http://purl.obolibrary.org/obo/DOID_0050004	axiom	1.0	seminal vesicle acute gonorrhea	backache	A pain that is characterized by occurring in the lower back.
http://purl.obolibrary.org/obo/SYMP_0000064	http://purl.obolibrary.org/obo/DOID_0050012	axiom	1.0	chikungunya	joint pain	A pain that is characterized by a pain situated, or occurring, in or around a joint.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050012	axiom	1.0	chikungunya	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0000636	http://purl.obolibrary.org/obo/DOID_0050012	axiom	1.0	chikungunya	maculopapular rash	A rash characterized by papule(s), which are a raised area of the skin and macule(s), which are a flat red area of the skin.
http://purl.obolibrary.org/obo/SYMP_0019177	http://purl.obolibrary.org/obo/DOID_0050025	axiom	1.0	human granulocytic anaplasmosis	fatigue	A neurological and physiological symptom that is characterized by a weariness or exhaustion from labor, exertion, or stress.
http://purl.obolibrary.org/obo/SYMP_0000487	http://purl.obolibrary.org/obo/DOID_0050025	axiom	1.0	human granulocytic anaplasmosis	rash	A skin and integumentary tissue symptom that is characterized by an eruption on the body typically with little or no elevation above the surface.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050025	axiom	1.0	human granulocytic anaplasmosis	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0000504	http://purl.obolibrary.org/obo/DOID_0050025	axiom	1.0	human granulocytic anaplasmosis	headache	A pain that is characterized by a pain in the head.
http://purl.obolibrary.org/obo/SYMP_0019177	http://purl.obolibrary.org/obo/DOID_0050026	axiom	1.0	human monocytic ehrlichiosis	fatigue	A neurological and physiological symptom that is characterized by a weariness or exhaustion from labor, exertion, or stress.
http://purl.obolibrary.org/obo/SYMP_0000487	http://purl.obolibrary.org/obo/DOID_0050026	axiom	1.0	human monocytic ehrlichiosis	rash	A skin and integumentary tissue symptom that is characterized by an eruption on the body typically with little or no elevation above the surface.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050026	axiom	1.0	human monocytic ehrlichiosis	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0000504	http://purl.obolibrary.org/obo/DOID_0050026	axiom	1.0	human monocytic ehrlichiosis	headache	A pain that is characterized by a pain in the head.
http://purl.obolibrary.org/obo/SYMP_0019158	http://purl.obolibrary.org/obo/DOID_0050035	axiom	1.0	African tick-bite fever	eschar	A skin and integumentary tissue symptom that is characterized by a scab formed especially after a burn.
http://purl.obolibrary.org/obo/SYMP_0000636	http://purl.obolibrary.org/obo/DOID_0050035	axiom	1.0	African tick-bite fever	maculopapular rash	A rash characterized by papule(s), which are a raised area of the skin and macule(s), which are a flat red area of the skin.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050035	axiom	1.0	African tick-bite fever	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0019158	http://purl.obolibrary.org/obo/DOID_0050041	axiom	1.0	Astrakhan spotted fever	eschar	A skin and integumentary tissue symptom that is characterized by a scab formed especially after a burn.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050041	axiom	1.0	Astrakhan spotted fever	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0000636	http://purl.obolibrary.org/obo/DOID_0050041	axiom	1.0	Astrakhan spotted fever	maculopapular rash	A rash characterized by papule(s), which are a raised area of the skin and macule(s), which are a flat red area of the skin.
http://purl.obolibrary.org/obo/SYMP_0019158	http://purl.obolibrary.org/obo/DOID_0050042	axiom	1.0	Indian tick typhus	eschar	A skin and integumentary tissue symptom that is characterized by a scab formed especially after a burn.
http://purl.obolibrary.org/obo/SYMP_0000636	http://purl.obolibrary.org/obo/DOID_0050042	axiom	1.0	Indian tick typhus	maculopapular rash	A rash characterized by papule(s), which are a raised area of the skin and macule(s), which are a flat red area of the skin.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050042	axiom	1.0	Indian tick typhus	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0019158	http://purl.obolibrary.org/obo/DOID_0050043	axiom	1.0	Israeli tick typhus	eschar	A skin and integumentary tissue symptom that is characterized by a scab formed especially after a burn.
http://purl.obolibrary.org/obo/SYMP_0000636	http://purl.obolibrary.org/obo/DOID_0050043	axiom	1.0	Israeli tick typhus	maculopapular rash	A rash characterized by papule(s), which are a raised area of the skin and macule(s), which are a flat red area of the skin.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050043	axiom	1.0	Israeli tick typhus	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0019158	http://purl.obolibrary.org/obo/DOID_0050046	axiom	1.0	Far Eastern spotted fever	eschar	A skin and integumentary tissue symptom that is characterized by a scab formed especially after a burn.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050046	axiom	1.0	Far Eastern spotted fever	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0000636	http://purl.obolibrary.org/obo/DOID_0050046	axiom	1.0	Far Eastern spotted fever	maculopapular rash	A rash characterized by papule(s), which are a raised area of the skin and macule(s), which are a flat red area of the skin.
http://purl.obolibrary.org/obo/SYMP_0019142	http://purl.obolibrary.org/obo/DOID_0050047	axiom	1.0	Flinders Island spotted fever	lymphadenopathy	
http://purl.obolibrary.org/obo/SYMP_0019158	http://purl.obolibrary.org/obo/DOID_0050047	axiom	1.0	Flinders Island spotted fever	eschar	A skin and integumentary tissue symptom that is characterized by a scab formed especially after a burn.
http://purl.obolibrary.org/obo/SYMP_0019158	http://purl.obolibrary.org/obo/DOID_0050050	axiom	1.0	Japanese spotted fever	eschar	A skin and integumentary tissue symptom that is characterized by a scab formed especially after a burn.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050050	axiom	1.0	Japanese spotted fever	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0019158	http://purl.obolibrary.org/obo/DOID_0050051	axiom	1.0	Rickettsia parkeri spotted fever	eschar	A skin and integumentary tissue symptom that is characterized by a scab formed especially after a burn.
http://purl.obolibrary.org/obo/SYMP_0000487	http://purl.obolibrary.org/obo/DOID_0050051	axiom	1.0	Rickettsia parkeri spotted fever	rash	A skin and integumentary tissue symptom that is characterized by an eruption on the body typically with little or no elevation above the surface.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050051	axiom	1.0	Rickettsia parkeri spotted fever	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0000504	http://purl.obolibrary.org/obo/DOID_0050051	axiom	1.0	Rickettsia parkeri spotted fever	headache	A pain that is characterized by a pain in the head.
http://purl.obolibrary.org/obo/SYMP_0000504	http://purl.obolibrary.org/obo/DOID_0050052	axiom	1.0	Rocky Mountain spotted fever	headache	A pain that is characterized by a pain in the head.
http://purl.obolibrary.org/obo/SYMP_0000457	http://purl.obolibrary.org/obo/DOID_0050052	axiom	1.0	Rocky Mountain spotted fever	abdominal pain	A pain that is characterized by occurring in the abdomen, i.e. between the chest and groin.
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050052	axiom	1.0	Rocky Mountain spotted fever	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0000636	http://purl.obolibrary.org/obo/DOID_0050052	axiom	1.0	Rocky Mountain spotted fever	maculopapular rash	A rash characterized by papule(s), which are a raised area of the skin and macule(s), which are a flat red area of the skin.
http://purl.obolibrary.org/obo/SYMP_0000638	http://purl.obolibrary.org/obo/DOID_0050052	axiom	1.0	Rocky Mountain spotted fever	papular rash	A rash characterized by papule(s), which are a raised area of the skin.
http://purl.obolibrary.org/obo/SYMP_0019145	http://purl.obolibrary.org/obo/DOID_0050059	axiom	1.0	oropharyngeal anthrax	vomiting	Vomiting is a digestive system symptom characterized by throwing up the stomach contents.
http://purl.obolibrary.org/obo/SYMP_0019147	http://purl.obolibrary.org/obo/DOID_0050059	axiom	1.0	oropharyngeal anthrax	hematemesis	A vomiting where there is vomiting of blood.
http://purl.obolibrary.org/obo/SYMP_0000570	http://purl.obolibrary.org/obo/DOID_0050059	axiom	1.0	oropharyngeal anthrax	diarrhea	Diarrhea is a feces and droppng symptom involving the abnormally frequent intestinal evacuations with more or less fluid stools.
http://purl.obolibrary.org/obo/SYMP_0000376	http://purl.obolibrary.org/obo/DOID_0050059	axiom	1.0	oropharyngeal anthrax	severe diarrhea	
http://purl.obolibrary.org/obo/SYMP_0000309	http://purl.obolibrary.org/obo/DOID_0050059	axiom	1.0	oropharyngeal anthrax	loss of appetite	An alteration of appetite that is characterized by a loss of desire to eat, i.e. no desire to eat.
http://purl.obolibrary.org/obo/SYMP_0000041	http://purl.obolibrary.org/obo/DOID_0050073	axiom	1.0	invasive aspergillosis	hemorrhage	A cardiovascular system symptom that is characterized by an acute loss of blood from a damaged blood vessel.
http://purl.obolibrary.org/obo/SYMP_0000030	http://purl.obolibrary.org/obo/DOID_0050118	axiom	1.0	La Crosse encephalitis	paralysis	A nervous system symptom that is characterized by a complete or partial loss of function especially when involving the power of motion or of sensation in any part of the body.
http://purl.obolibrary.org/obo/SYMP_0000124	http://purl.obolibrary.org/obo/DOID_0050118	axiom	1.0	La Crosse encephalitis	seizure	
http://purl.obolibrary.org/obo/SYMP_0000613	http://purl.obolibrary.org/obo/DOID_0050118	axiom	1.0	La Crosse encephalitis	fever	A neurological and physiological symptom that is characterized by a rise of body temperature above the normal, whether as a natural response (as to infection) or artificially induced for therapeutic reasons.
http://purl.obolibrary.org/obo/SYMP_0000504	http://purl.obolibrary.org/obo/DOID_0050118	axiom	1.0	La Crosse encephalitis	headache	A pain that is characterized by a pain in the head.
http://purl.obolibrary.org/obo/SYMP_0000605	http://purl.obolibrary.org/obo/DOID_0050118	axiom	1.0	La Crosse encephalitis	coma	An alteration of consciousness that is characterized by a deep state of prolonged unconsciousness in which a person cannot be awakened, fails to respond normally to painful stimuli, light, or sound, lacks a normal wake-sleep cycle and does not initiate voluntary actions.
http://purl.obolibrary.org/obo/SYMP_0000521	http://purl.obolibrary.org/obo/DOID_0050120	axiom	1.0	hemophagocytic lymphohistiocytosis	enlargement of lymph nodes	
http://purl.obolibrary.org/obo/SYMP_0000047	http://purl.obolibrary.org/obo/DOID_0050120	axiom	1.0	hemophagocytic lymphohistiocytosis	hepatosplenomegaly	
http://purl.obolibrary.org/obo/SYMP_0019142	http://purl.obolibrary.org/obo/DOID_0050120	axiom	1.0	hemophagocytic lymphohistiocytosis	lymphadenopathy	
http://purl.obolibrary.org/obo/SYMP_0000450	http://purl.obolibrary.org/obo/DOID_0050125	axiom	1.0	dengue shock syndrome	shock	A cardiovascular system symptom that is characterized as a state of profound depression of the vital processes of the body that is characterized by pallor, rapid but weak pulse, rapid and shallow respiration, reduced total blood volume, and low blood pressure and that is caused usually by severe especially crushing injuries, hemorrhage, burns, or major surgery.
http://purl.obolibrary.org/obo/SYMP_0000059	http://purl.obolibrary.org/obo/DOID_0050125	axiom	1.0	dengue shock syndrome	hypotension	
