symp_iri	doid_iri	disease_name	symptom_name	symptom_definition	method	score
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_0050395	obsolete nocardial cellulitis	cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.	cosine	0.6518711447715759
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_11234	orbital cellulitis	cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.	cosine	0.6649429798126221
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_1260	parametritis	cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.	cosine	0.6664186716079712
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_1526	panniculitis	cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.	cosine	0.6610773801803589
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_3488	cellulitis	cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.	cosine	0.8390626907348633
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_12234	cascade stomach	abdominal cramp		cosine	0.6978783011436462
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_2073	perinatal intestinal perforation	abdominal cramp		cosine	0.6807296276092529
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_3229	gastric dilatation	abdominal cramp		cosine	0.6911278963088989
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_8437	intestinal obstruction	abdominal cramp		cosine	0.7083003520965576
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_8448	intestinal impaction	abdominal cramp		cosine	0.708561897277832
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_10486	intestinal atresia	abdominal distention		cosine	0.7471128702163696
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_2073	perinatal intestinal perforation	abdominal distention		cosine	0.7303801774978638
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_3229	gastric dilatation	abdominal distention		cosine	0.7213147878646851
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_8437	intestinal obstruction	abdominal distention		cosine	0.7796443700790405
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_8448	intestinal impaction	abdominal distention		cosine	0.769411563873291
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_100	intestinal infectious disease	obsolete acute enteritis in newborns		cosine	0.7110799551010132
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_13520	neonatal infective mastitis	obsolete acute enteritis in newborns		cosine	0.7115297317504883
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_1375	neonatal urinary tract infectious disease	obsolete acute enteritis in newborns		cosine	0.7115176916122437
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_1376	obsolete perinatal infectious disease	obsolete acute enteritis in newborns		cosine	0.7155554294586182
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_8677	perinatal necrotizing enterocolitis	obsolete acute enteritis in newborns		cosine	0.7980743050575256
http://purl.obolibrary.org/obo/SYMP_0000004	http://purl.obolibrary.org/obo/DOID_1142	alternating exotropia	obsolete arrested moulting		cosine	0.6784211993217468
http://purl.obolibrary.org/obo/SYMP_0000004	http://purl.obolibrary.org/obo/DOID_5244	obsolete visual alteration	obsolete arrested moulting		cosine	0.691521167755127
http://purl.obolibrary.org/obo/SYMP_0000004	http://purl.obolibrary.org/obo/DOID_5359	obsolete pure BAC	obsolete arrested moulting		cosine	0.6966866254806519
http://purl.obolibrary.org/obo/SYMP_0000004	http://purl.obolibrary.org/obo/DOID_5360	obsolete AD-BAC	obsolete arrested moulting		cosine	0.7260279655456543
http://purl.obolibrary.org/obo/SYMP_0000004	http://purl.obolibrary.org/obo/DOID_8205	obsolete alloimmunization	obsolete arrested moulting		cosine	0.7593109011650085
http://purl.obolibrary.org/obo/SYMP_0000005	http://purl.obolibrary.org/obo/DOID_0050753	cerebellar ataxia	ataxia	A neurological and physiological symptom that is characterized by an inability to coordinate voluntary muscular movements that is symptomatic of some nervous disorders.	cosine	0.7568618655204773
http://purl.obolibrary.org/obo/SYMP_0000005	http://purl.obolibrary.org/obo/DOID_0050945	spastic ataxia 7	ataxia	A neurological and physiological symptom that is characterized by an inability to coordinate voluntary muscular movements that is symptomatic of some nervous disorders.	cosine	0.7223685383796692
http://purl.obolibrary.org/obo/SYMP_0000005	http://purl.obolibrary.org/obo/DOID_0050951	hereditary ataxia	ataxia	A neurological and physiological symptom that is characterized by an inability to coordinate voluntary muscular movements that is symptomatic of some nervous disorders.	cosine	0.8274285197257996
http://purl.obolibrary.org/obo/SYMP_0000005	http://purl.obolibrary.org/obo/DOID_0050952	spastic ataxia	ataxia	A neurological and physiological symptom that is characterized by an inability to coordinate voluntary muscular movements that is symptomatic of some nervous disorders.	cosine	0.7945073843002319
http://purl.obolibrary.org/obo/SYMP_0000005	http://purl.obolibrary.org/obo/DOID_0050953	X-linked hereditary ataxia	ataxia	A neurological and physiological symptom that is characterized by an inability to coordinate voluntary muscular movements that is symptomatic of some nervous disorders.	cosine	0.7312625050544739
