symp_iri	doid_iri	symptom_name	disease_name	symptom_definition	disease_definition	method	score
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_0050395	cellulitis	obsolete nocardial cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.		cosine	0.6518711447715759
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_11234	cellulitis	orbital cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.	An acute orbital inflammation that is characterized by painful orbital mass and has symptom eyelid edema, has symptom erythema, has symptom chemiosis, has symptom proptosis, has symptom blurred vision, has symptom headache, has symptom fever and has symptom double vision.	cosine	0.6649429798126221
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_1260	cellulitis	parametritis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.		cosine	0.6664186716079712
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_1526	cellulitis	panniculitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.	A skin disease that is characterized by inflammation of subcutaneous adipose tissue.	cosine	0.6610773801803589
http://purl.obolibrary.org/obo/SYMP_0000000	http://purl.obolibrary.org/obo/DOID_3488	cellulitis	cellulitis	Cellulitis is a musculoskeletal system symptom characterized as a diffuse and especially subcutaneous inflammation of connective tissue.	A skin disease where there is a diffuse infection of connective tissue with severe inflammation of dermal and subcutaneous layers of the skin. Cellulitis can be caused by normal skin flora or by exogenous bacteria, and often occurs where the skin has previously been broken: cracks in the skin, cuts, blisters, burns, insect bites, surgical wounds, or sites of intravenous catheter insertion.	cosine	0.8390626907348633
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_12234	abdominal cramp	cascade stomach			cosine	0.6978783011436462
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_2073	abdominal cramp	perinatal intestinal perforation			cosine	0.6807296276092529
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_3229	abdominal cramp	gastric dilatation			cosine	0.6911278963088989
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_8437	abdominal cramp	intestinal obstruction			cosine	0.7083003520965576
http://purl.obolibrary.org/obo/SYMP_0000001	http://purl.obolibrary.org/obo/DOID_8448	abdominal cramp	intestinal impaction			cosine	0.708561897277832
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_10486	abdominal distention	intestinal atresia			cosine	0.7471128702163696
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_2073	abdominal distention	perinatal intestinal perforation			cosine	0.7303801774978638
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_3229	abdominal distention	gastric dilatation			cosine	0.7213147878646851
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_8437	abdominal distention	intestinal obstruction			cosine	0.7796443700790405
http://purl.obolibrary.org/obo/SYMP_0000002	http://purl.obolibrary.org/obo/DOID_8448	abdominal distention	intestinal impaction			cosine	0.769411563873291
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_100	obsolete acute enteritis in newborns	intestinal infectious disease		An intestinal disease that involves intestinal infection that has material basis in viruses, bacteria, fungi and parasites.	cosine	0.7110799551010132
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_13520	obsolete acute enteritis in newborns	neonatal infective mastitis			cosine	0.7115297317504883
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_1375	obsolete acute enteritis in newborns	neonatal urinary tract infectious disease			cosine	0.7115176916122437
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_1376	obsolete acute enteritis in newborns	obsolete perinatal infectious disease			cosine	0.7155554294586182
http://purl.obolibrary.org/obo/SYMP_0000003	http://purl.obolibrary.org/obo/DOID_8677	obsolete acute enteritis in newborns	perinatal necrotizing enterocolitis			cosine	0.7980743050575256
http://purl.obolibrary.org/obo/SYMP_0000004	http://purl.obolibrary.org/obo/DOID_1142	obsolete arrested moulting	alternating exotropia			cosine	0.6784211993217468
http://purl.obolibrary.org/obo/SYMP_0000004	http://purl.obolibrary.org/obo/DOID_5244	obsolete arrested moulting	obsolete visual alteration			cosine	0.691521167755127
http://purl.obolibrary.org/obo/SYMP_0000004	http://purl.obolibrary.org/obo/DOID_5359	obsolete arrested moulting	obsolete pure BAC			cosine	0.6966866254806519
http://purl.obolibrary.org/obo/SYMP_0000004	http://purl.obolibrary.org/obo/DOID_5360	obsolete arrested moulting	obsolete AD-BAC			cosine	0.7260279655456543
http://purl.obolibrary.org/obo/SYMP_0000004	http://purl.obolibrary.org/obo/DOID_8205	obsolete arrested moulting	obsolete alloimmunization			cosine	0.7593109011650085
http://purl.obolibrary.org/obo/SYMP_0000005	http://purl.obolibrary.org/obo/DOID_0050753	ataxia	cerebellar ataxia	A neurological and physiological symptom that is characterized by an inability to coordinate voluntary muscular movements that is symptomatic of some nervous disorders.	A hereditary ataxia that is characterized by ataxia originating in the cerebellum.	cosine	0.7568618655204773
http://purl.obolibrary.org/obo/SYMP_0000005	http://purl.obolibrary.org/obo/DOID_0050945	ataxia	spastic ataxia 7	A neurological and physiological symptom that is characterized by an inability to coordinate voluntary muscular movements that is symptomatic of some nervous disorders.	A spastic ataxia that is characterized by poor visual acuity, cerebellar ataxia, dysarthria and pyramidal signs.	cosine	0.7223685383796692
http://purl.obolibrary.org/obo/SYMP_0000005	http://purl.obolibrary.org/obo/DOID_0050951	ataxia	hereditary ataxia	A neurological and physiological symptom that is characterized by an inability to coordinate voluntary muscular movements that is symptomatic of some nervous disorders.	A neurodegenerative disease that is characterized by slowly progressive incoordination of gait and often associated with poor coordination of hands, speech, and eye movements.	cosine	0.8274285197257996
http://purl.obolibrary.org/obo/SYMP_0000005	http://purl.obolibrary.org/obo/DOID_0050952	ataxia	spastic ataxia	A neurological and physiological symptom that is characterized by an inability to coordinate voluntary muscular movements that is symptomatic of some nervous disorders.	A hereditary ataxia that is characterized by early onset of cerebellar ataxia, pyramidal tract signs and peripheral neuropathy.	cosine	0.7945073843002319
